,Headline
0,Snow Day for Jan. 18: Which Metro Vancouver schools are open and closed
1,"Parts of B.C. dealing with major snowfall, closed schools, difficult travel"
2,STORM CENTRE: Lower Mainland blanketed with snow
3,Snow Day: Here is a list of live webcams showing current road conditions on Vancouver Island
4,Driver dead in Vancouver parkade crash at UBC: police - BC News
5,Car crashes through UBC parkade
6,Vehicle crashes through 2nd-storey parkade on UBC campus: Vancouver Fire Rescue
7,"VFRS: SUV falls out of parkade at UBC, rescue service called"
8,Prime Minister Justin Trudeau heads to Nunavut for signing on transfer of powers
9,Trudeau to sign long-awaited devolution agreement with Nunavut Thursday
10,Justin Trudeau in Nunavut to sign 'historic' agreement
11,"Trudeau, Akeeagok to sign ‘largest land transfer in Canada’s history’"
12,Canadian charged for allegedly lighting a fire that grew to be the largest in Nova Scotia's history
13,N.S. news: Man charged following Barrington Lake fire
14,Nova Scotia man charged with igniting massive Barrington Lake wildfire - Canada News
15,Young man charged over devastating Shelburne County wildfire
16,Auto shop owner advises all vehicle buyers in Sask. to ask about the block heater
17,‘Paying it forward’: Roadside assistance in Saskatchewan during cold snap
18,CAA Sask. fields thousands of service requests during extreme cold
19,"Mechanic shows how to check if your vehicle has a block heater, says many don't"
20,Damien Sanderson’s last text messages before 2022 mass killing revealed
21,Partner of killer in James Smith Cree Nation mass stabbing expected to speak at inquest Thursday
22,RCMP details 42 crime scenes at Sask. mass stabbing inquest
23,Sask. stabbings inquest: First responder describes chaotic scene
24,Video released of ‘suspicious’ Richmond Hill truck fire
25,Video shows trucks being set ablaze at Richmond Hill yard
26,Video released of 'suspicious' Richmond Hill truck fire | CTV News
27,Police release video showing suspect setting truck cabs on fire in Richmond Hill
28,Man found dead in Leslieville rooming house fire
29,One person dead after house fire breaks out in Leslieville
30,1 dead after fire at rooming house in Toronto's east end
31,One person dead after being pulled from Leslieville house fire
32,"Removing barriers to build more homes, faster in Saint John, New Brunswick"
33,Feds will give St. Catharines $25M to boost housing supply
34,$21-million funding to speed up Burlington housing
35,Saint John news: 285 new housing units fast-tracked
36,Beaumont fires believed to be linked to Edmonton extortions
37,"Drive-by shooting tied to ongoing extortion attempts, Edmonton police say"
38,Family home drive-by shooting linked to extortion scheme targeting Edmonton South Asian community
39,Edmonton police tie 27 events to extortion series targeting South Asian community
40,Toronto weather: cold to linger before Thursday break
41,"Weather AM: Minus Double-Digits for the GTA, How Long Will it Last?"
42,The GTA is coping with arctic air causing bitterly cold conditions. Here's why it's freezing in Ontario right now
43,Extreme cold warning hits parts of GTA as frigid spell reaches its peak today
44,Ontario moves ahead with expansion of private clinics to address surgical backlogs
45,More Ontario private clinics can soon perform OHIP surgeries | CTV News
46,Ontario preparing for next step in private clinic expansion
47,Ford government's controversial plan for private medical clinics will begin this spring
48,"Man arrested and charged after 5 banks robbed in south Edmonton, Sherwood Park"
49,Alberta Man charged with robbing 5 banks in 10 weeks
50,Jagveer Kundi accused of robbing 5 Edmonton-area banks
51,"Police arrest, charge man after five Edmonton-area bank robberies"
52,Is Ottawa 'scapegoating' international students? Report of possible restrictions draws concern
53,Ottawa planning international student cap in some provinces: source
54,Canada’s immigration minister calls on provinces to “rein in” number of international students
55,Globe editorial: The Liberals' half-measures won't fix a broken immigration system
56,Former Cree grand chief spends 4 days in an ER hallway after travelling to Montreal for health care
57,‘Heartbreaking’ experience as former Cree grand chief spends 4 days in Montreal ER hallway
58,Former Cree grand chief spends 4 days in Montreal hospital ER
59,Family hopes former Cree grand chief's long stay in Montreal ER hallway spurs change
60,Shannon Phillips reacts to Rachel Notley stepping down as Alberta NDP leader
61,A timeline of Rachel Notley's political career
62,Notley resignation: What does the NDP do next?
63,Rahim Mohamed: Rachel Notley leaves behind a legacy of division
64,"Canada clamps down on researchers with ties to China, Iran, Russia"
65,Canada names 100 foreign research groups possibly threatening national security
66,"Morning Update: Ottawa clamps down on university research partnerships with China, Iran and Russia"
67,Waterloo to change policies to protect sensitive research
68,Extreme cold warning ended for Waterloo Region
69,"Extreme cold warning issued for Westman, southwestern Manitoba"
70,"Windsor-Essex forecast for Jan 17, 2024 | CTV News"
71,Swift Current in temporary deep freeze
72,Police officer dragged during traffic stop in Cambridge
73,Regional police officer dragged while attempting to arrest driver in Cambridge
74,Police Officer Dragged by Vehicle during a Traffic Stop in Cambridge
75,Regional police officer dragged by vehicle while attempting to arrest driver
76,Quebec nearing ‘breaking point’ amid influx of asylum seekers: Legault
77,Legault asks Trudeau to slow influx of asylum seekers
78,"Trudeau Must Stop the Flow of Asylum Seekers, Says Quebec Leader"
79,'Breaking point': Legault asks Trudeau to slow influx of asylum seekers
80,Patios on Banff Avenue to resume this year despite Parks Canada's opposition
81,Banff Avenue's pedestrian zone moves along | Urbanized
82,Banff to make decision on permanent pedestrian zone in its downtown
83,"Town of Banff to continue pedestrian zone, but seeking more detail on patios"
84,#TheMoment an egg froze midair in Alberta's extreme cold
85,New extreme cold warning issued by Environment Canada
86,"Fil-Canadians in Alberta told to exercise caution amid deep freeze | TFC News Alberta, Canada"
87,Still some extreme cold warnings in place
88,Halifax ice thickness no longer tested
89,"Halifax scraps testing of frozen lakes for skating safety, cites climate change"
90,"Halifax no longer testing if frozen lakes are safe for skating, citing climate change"
91,Worried Toronto's proposed budget will send your property tax soaring? Experts break down how you'll be impacted
92,Toronto's not alone in looking at property tax hikes. These municipalities are too
93,Olivia Chow 'did not request an increase' in salary: mayor's office | CTV News
94,"Toronto's threat of tax hike in absence of federal shelter money a 'shakedown,' Liberal MP says"
95,Snow day photo gallery showcases Vancouver Island's first major snowfall of 2024
96,Vancouver Island's snow day in photos - Victoria Times Colonist
97,PHOTOS: Check out this flurry of images of winter in Greater Victoria
98,13 serene scenes from Victoria's first snowfall of the season (PHOTOS/VIDEOS)
99,From deep freeze to deep snow: Southern Alberta braces for snowfall and icy commutes
100,Winter weather warnings issued for southern B.C. and Alberta; up to 40 centimetres of snow possible
101,"Snow Picks up Across Southern Alberta, Multiple Commute Times Impacted"
102,Heavy snow in the forecast for Southern Alberta
103,Internet betting websites used as front for money laundering: Fintrac
104,Online gambling sites being used by money launderers: financial intelligence agency
105,Money launderers are using online gambling sites to disguise shady funds
106,"Money launderers using online gambling sites, Canada’s Fintrac warns"
107,Vancouver's homeless suffering during snowstorm | CTV News
108,City of Vancouver issues extreme weather alert due to snow
109,Shuttle driver offers lifeline for unhoused people seeking shelter in sub-zero B.C. temperatures
110,"Team effort for Kamloops shelter operators during snowy, cold snap"
111,Family of Calgary domestic homicide victim demands better protection for victims
112,"More resources, earlier intervention needed in domestic violence cases: experts"
113,Fatal domestic incident outside Calgary school sends shockwaves through community
114,"'It doesn't stop somebody who wants to kill you': Man who killed wife had no-contact order, breached it twice"
115,RCMP officers mocked people being arrested at Wet'suwet'en blockade as 'orcs' and 'ogre'
116,"RCMP at Coastal GasLink pipeline blockade raid worried about weapons, booby traps"
117,"Dogs, Snipers and Axes: Inside the RCMP’s Actions in Wet’suwet’en Territory"
118,"Body found behind dumpster off Frood Road in Sudbury, police investigating sudden death"
119,"49-year-old man found dead in Sudbury, Ont., alleyway"
120,Body found behind dumpster off Frood Road in Sudbury: Source
121,"Body of man, 49, found in alleyway on Frood Road"
122,Arrest made after woman found murdered in Chilliwack home
123,Man arrested after woman found dead in Chilliwack home
124,68-year-old man arrested for murder in Chilliwack: IHIT | CTV News
125,"UPDATE: Chilliwack woman, 66, killed in family home"
126,"Potent snow squalls hit Newfoundland, risk of 50 cm in the heaviest bands"
127,"Slippery Roads, Reduced Visibility Impacting Driving Conditions Across Island"
128,Poor driving conditions across Newfoundland and several ferries suspend service
129,High Winds Brings Days of Intense Snow Squalls to Newfoundland
130,"Extortion threats primarily targeting South Asians prompt Brampton, Surrey mayors to call on feds for help"
131,"Brampton and Surrey mayors call for action as extortionists target Indians, south Asians in Canada"
132,"Mayors of Brampton, Surrey seek action as extortion attempts targeting Indo-Canadians rise"
133,Mayors ask Ottawa for help combatting extortions targeting South Asians across Canada
134,"Teen found dead at motel in Trenton, Ont."
135,OPP seek video in Quinte West teen’s death at Trenton motel
136,Name released of person in death investigation
137,OPP probe death of teenager found in Quinte West motel
138,Ever wanted to ride shotgun in a snowplow? Here’s what it’s like
139,Coquitlam School District announces closure with another storm on the way
140,Tri-Cities batten down the hatches for wintry weather
141,Snow storm hits Metro Vancouver
142,"OPP warning of grandparent scams after $9,500 loss"
143,Grey County grandparent conned out of $10K by scammer
144,Teen scammer caught in Stratford
145,Southgate Resident Loses Nearly $10K To Scam
146,Province to Provide Residents Digital Access to Some Medical Records
147,A new online health record is coming — from the same place you get your driver's licence
148,New online health record means you can get health test results — and track your meds
149,Trudeau defends trip to Jamaica as Opposition calls on ethics commissioner to testify
150,MPs call on Ethics Commissioner to testify amid scrutiny over Trudeau's Jamaica vacation
151,Trudeau defends Jamaica trip as committee agrees to seek ethics watchdog's testimony - Canada News
152,Opinion: Revenue Canada should audit Trudeau's free vacations
153,"Loaded Handgun, Cocaine, Meth And Fentanyl Reportedly Seized By Police In Lindsay"
154,"Wanted man in Lindsay, Ont. found with loaded firearm, drugs: police"
155,"Kawartha Lakes OPP arrest 1, seize firearm, cocaine at residence in Lindsay"
156,"Man dies at ski hill north of Montreal, provincial police say"
157,Spotlight on safety after 2 deaths on Quebec ski mountains in under a week
158,Man dies at Quebec ski hill; second death in one week on the slopes in the province
159,Man dies after fall at Saint-Sauveur ski hill
160,"Ford government planning Brampton, Mississauga additions to Hazel McCallion LRT"
161,Ontario expanding Hazel McCallion LRT into downtown Mississauga and Brampton
162,Ontario extending Hazel McCallion LRT into downtown Mississauga and Brampton
163,LRT extension back on track to connect downtown Brampton with Hazel McCallion line in Mississauga | inBrampton
164,Grey County faces safety challenges with significant weather event
165,"Weather alerts issued, with snowfall expected to make driving conditions hazardous"
166,Environment Canada issues weather alerts for Muskoka and Grey Bruce
167,Grey Bruce and Muskoka under snow squall warnings
168,School board upholds Code of Conduct sanctions against trustee Nili Kaplan-Myrth
169,Nili Kaplan-Myrth: OCDSB upholds code of conduct complaint following appeal
170,OCDSB upholds code of conduct complaint against Trustee Kaplan-Myrth following appeal
171,OCDSB trustees uphold sanctions against Nili Kaplan-Myrth
172,Neighbours express concern as temperatures drop and seniors live in encampments | CTV News
173,"One more night of extreme cold expected in London, Ont."
174,"London and area forecast for Jan. 17, 2024 | CTV News"
175,"Environment Canada lifts 'extreme cold' warning, deep freeze may ease"
176,Hundreds of buildings in Vancouver are flooding because of bursting pipes | Urbanized
177,"Homeowners face long wait for service if pipes burst during cold snap, plumber warns"
178,Burst pipes and water damage as freezing temperatures grip Metro Vancouver
179,Mission Memorial Hospital opens temporary ER | CTV News
180,Pakistan carries out retaliatory airstrikes in Iran after an earlier attack by Tehran
181,Pakistan retaliatory airstrikes on Iran kill at least 9 people
182,"Pakistan fires retaliatory strike at Iran, stoking regional tension"
183,The Baluch Quagmire: Mistrust Between Iran and Pakistan Has Come to a Boil
184,What the designation of ‘terrorist’ means for Yemen’s Houthis
185,Canada considers adding Houthis to the terrorist list following missile attacks in the Red Sea
186,U.S. to re-list Houthis as terrorists as Canada weighs doing same
187,Houthis Make U.S Back-Pedal; Washington Says 'Ready To Rethink Terror Tag Move If...' | Watch
188,Trump lawyer suggests E Jean Carroll death threats had nothing to do with ex-president – live
189,Trump sex accuser cross-examined in New York court
190,"E. Jean Carroll testifies during defamation trial with Trump, for first time, in the courtroom"
191,Opinion: Trump’s behavior in E. Jean Carroll trial is a chilling trigger for sexual assault survivors
192,Prince William visits Kate in hospital after surgery | BBC News
193,King Charles and Kate Middleton: who steps in as they recover?
194,Prince William visits Kate in hospital after her abdominal surgery
195,"King Charles, Kate Middleton's Surgeries Spark Monarchy Fears: Expert"
196,"U.S. ships, submarines launch renewed round of strikes on Houthi sites in Yemen"
197,U.S. military launches another barrage of missiles against Houthi sites in Yemen
198,US launches fourth round of strikes on Houthis in Yemen | BBC News
199,A search for deterrence in the Red Sea
200,Prosecutor investigating Ecuardor TV studio attack shot dead
201,Ecuador news: Prosecutor probing TV studio attack shot dead
202,Ecuador drug gangs inquiry will have 'more strength' after shooting of prosecutor
203,Ecuador: Two arrested over killing of cartel prosecutor
204,"Fears of prolonged Red Sea shipping crisis fuel inflation fears, as oil, retail cargo delays rise"
205,Could Red Sea attacks reignite supply chain chaos?
206,Airstrikes on Yemen Bring New Level of Chaos to Shipping in the Southern Red Sea
207,Opinion | Will Red Sea Shipping Disruptions Worsen Inflation?
208,"Hamas to take 1,000 boxes of medicine for every one going to hostages: report"
209,"Medicine shipments for hostages, Palestinians arrive in Gaza in deal brokered by France, Qatar"
210,Intense Israeli strikes in south Gaza city as hostages sent medicine
211,Ben Gvir tells Netanyahu to stop trying to dodge responsibility amid row over Gaza medicine
212,"Canada watching for UN court decision on Israel and genocide, Trudeau says"
213,Israeli envoy joins calls for Canada to clarify its stance on ICJ genocide case
214,What the UN court case against Israel means for Canada
215,FIRST READING: The shambolic confusion of Trudeau's stance on the South African 'genocide' case
216,Arnold Schwarzenegger detained at an airport for hours over undeclared luxury watch
217,"Arnold Schwarzenegger held at Munich airport, will face criminal tax proceedings"
218,Arnold Schwarzenegger detained over EU tax for luxury watch
219,Arnold Schwarzenegger held at Munich airport over luxury watch
220,Trump wins decisively in Iowa
221,Race for Republican nomination: Iowa win boosts Trump's confidence • FRANCE 24 English
222,"Trump owns this political party,’ says Republican who once went up against him | As It Happens with Nil Köksal, Chris Howden | Live Radio"
223,Trump’s win suddenly dealt major blow
224,Hungary doubles down on Ukraine aid demands
225,"EU options for granting aid to Ukraine, and what Hungary wants"
226,EU confident of Orbán U-turn on allowing money to Ukraine
227,"EU 'confident' of Hungary deal on Ukraine aid, but uncertainty remains"
228,Blow to Beijing as Taiwan chooses candidate Xi fears the most | Battle Lines Podcast
229,2024 Taiwan Presidential Election Results: What Will Lai Ching-te Do About China?
230,Why these Taiwanese Americans flew home to vote
231,How China's public views Taiwan's elections
232,GOP campaign strategist on where candidates stand in New Hampshire
233,Major poll gives Trump 16-point lead in New Hampshire days before primary
234,Nikki Haley looks to slow Trump's momentum in New Hampshire primary
235,"Opinion | Even if Nikki Haley Shocks Trump in New Hampshire, It Won't Matter"
236,U.S. woman gets 26 years in prison for helping kill her mother in Bali and stuffing body in a suitcase
237,"Heather Mack, who killed and stuffed her mother into a suitcase in Bali, is set to be sentenced"
238,US woman jailed for 26 years over mother’s suitcase murder in Bali
239,US woman gets 26 years for mother's 'suitcase murder'
240,The Andrew Lawton Show | Davos Day 2: The elites are hiding from their records
241,Why the Davos Smart Set Sounds Dumb
242,World Economic Forum Popular Target for Conspiracy Theories
243,John Ivison: The Davos men can still sometimes come up with a pleasant surprise
244,MEPs threaten legal action if more EU funds are released to Hungary
245,EU Assembly Boosts Pressure to Withhold Further Funds from Orban
246,EU parliament steps up criticism of Hungary ahead of Ukraine aid summit
247,MEPs threaten legal action if Commission unfreezes more funds for Hungary
248,China population decline accelerates as birthrate hits record low
249,China's population falls for a 2nd straight year as births drop even after end of one-child policy
250,China's population dropped for a second straight year
251,China's looming decline could be a threat to the world
252,What are these mysterious red marks on Donald Trump’s hand?
253,4 reasons for the mysterious red marks on Trump's hand: dermatologist
254,Blood on his hands? Donald Trump's red marks spark conspiracy theories
255,What the Hell Was That Stuff on Donald Trump's Hands?
256,Head of Russian region denounces 'traitors' after rare protest
257,Thousands protest in Russia: What does this mean for Putin and Russian politics? | DW News
258,Eight Men In Russia's Bashkortostan Handed Jail Terms Amid Unprecedented Rallies
259,Russia protest: Crowds clash with riot police as activist jailed
260,Russia Says Targeted French Mercenaries in Ukraine Strike
261,Russian missiles hit Ukrainian apartment buildings in latest deadly strikes on civilian areas
262,"Ukrainian air force shoots down 22 out of 33 Russian drones overnight, Kyiv says"
263,Ukraine says Russian missiles and drones injured least 20 civilians | DW News
264,"'VP, VP' chants for Vivek Ramaswamy; Trump hints at future role for him"
265,U.S. Elections 2024 | Vivek Ramaswamy as Donald Trump's VP? | Iowa Caucuses 2024 | N18V | News18
266,How Vivek Ramaswamy Got Richer While Pumping Millions Into Failed Presidential Campaign
267,"Vivek Ramaswamy Urges Ron DeSantis, Nikki Haley To Quit US Presidential Race: Report"
268,Congressional leaders discuss high stakes meeting with Biden
269,Biden brings congressional leaders to White House at pivotal time for Ukraine aid and US border deal
270,"U.S. lawmakers remain split on Ukraine, immigration after White House meeting"
271,"Johnson, Schumer optimistic after Biden foreign aid meeting"
272,"Argentina's Milei talks inflation, poverty with IMF chief Georgieva in Davos"
273,Argentina's Javier Milei says west 'in danger' in fiery Davos debut
274,Elon Musk praises Javier Milei's speech to the World Economic Forum
275,'The state is the problem': Argentina's Javier Milei schools Davos leaders on socialism's disasters
276,Video: Ty Cobb calls out 'shocking' behavior from Trump's attorney in court
277,Katie Phang: ‘You get what you pay for’ - Trump’s lawyer Alina Habba embarrasses herself in court
278,Donald Trump's niece calls his attorney Alina Habba 'incompetent'
279,Trump lawyer Alina Habba’s past comments on faking being smart resurface as she struggles through defence
280,What's behind N Korea's shock policy change towards S Korea? | Inside Story
281,"Analysis: North Korea's Kim Jong Un declares South Korea 'principal enemy,' eliminating goal of unification"
282,Is North Korea Headed For A Nuclear War With South Korea?
283,North Korea's Kim Rules Out Reunification But Won't Attack the South
284,King Frederik of Denmark releases surprise memoir days after taking the throne - and reveals Queen Mary remind
285,A chocolate cake made for Denmark's newly crowned king
286,"In Greenland, love for Denmark's royals clashes with independence dream"
287,"I thought my 18th birthday was the end of the world, says Denmark's new king"
288,Lloyd Austin aide made 'subtle' ambulance plea in new audio
289,Austin's 911 call pushed for 'subtle' ambulance pickup
290,Audio obtained from 911 call for Defense Secretary Lloyd Austin
291,Lloyd Austin 911 call reveals effort to keep EMS transport 'subtle' | USA TODAY
292,"Dogs can feel cold, just like you: how to weather the frigid winter with your dog"
293,BC SPCA offers tips to keep pets safe during winter weather
294,"Avoid salty sidewalks, keep bathroom breaks short says Saskatoon SPCA"
295,How to look after dogs and cats in cold weather
296,Alarm as Alabama man to be executed via gas method rejected by veterinarians
297,Lawyers ask federal appeals court to block the nation's first execution by nitrogen hypoxia
298,Alabama’s new execution method could be dangerous for everyone in the room
299,"Planned Alabama execution with nitrogen could be torture, UN says"
300,"At Davos, Blinken calls a pathway to a Palestinian state a necessity for Israeli security"
301,"At Davos, Blinken calls pathway to a Palestinian state a necessity for Israeli security"
302,Davos updates: Blinken says Gaza suffering 'gut-wrenching' – DW – 01/17/2024
303,Blinken says a pathway to Palestinian state a necessity for Israel's security
304,"Israel’s war on Gaza: List of key events, day 104"
305,Israel-Gaza news: Tensions rise in Middle East from war
306,"Middle East crisis live: Over 24,600 killed by Israel since 7 October, Gaza health ministry says; EU set to impose sanctions on Hamas"
307,"Gaza war: 'If bombs don't kill us, cold, hunger and disease do'"
308,Fireworks factory explodes in central Thailand causing multiple reported deaths - World News
309,Firework explosion victims in Thailand being identified
310,Explosion at a Thailand fireworks factory kills at least 23 people
311,Deadly fireworks factory blast in Thailand
312,"Kenya doomsday cult leader, 30 others face charges of murdering 191 childrenl; more charges to follow"
313,Kenyan cult leader faces 191 murder charges in child mass starvation deaths
314,Kenyan pastor accused of cult that lures hundreds to their death
315,"Kenya doomsday cult leader, 30 others face charges of murdering 191 children; more charges to follow"
316,Video: Barkley bursts out laughing over Haley's 'racist country' remark
317,Haley says US has never been 'racist.' Did she forget her own past?
318,'This is why people don't trust Nikki Haley': Watch analyst react to Haley's remarks on racism
319,Trump Deploys Birtherism Playbook Against Nikki Haley
320,Formula 1's Singapore Grand Prix Is Caught Up In The Country's First Ever Corruption Scandal
321,Singapore news: S. Iswaran charged with corruption
322,A timeline leading up to the arrest of Transport Minister S Iswaran on offences including corruption
323,Singapore minister resigns after being charged with corruption in a first for the city state
324,Russia’s Lavrov rejects US proposal to resume nuclear arms talks
325,Russia's foreign minister rejects a US proposal to resume talks on nuclear arms control
326,Ukraine updates: Russia says West to decide when war ends – DW – 01/18/2024
327,Russia Rules Out Nuclear Arms Talks With US Over Ukraine Support
328,Israel Confirms Hamas Hostages Seen in Proof of Life Video Were Murdered
329,Israel Hamas war updates: 2 hostages killed after making video
330,Sister of slain hostage Svirsky says he would have been better off killed on October 7
331,"Israel Hamas: Two hostages confirmed dead, US rejects bid to curb war, Yemen strikes"
332,"Iran's ""Longest Missile Launch"" In Syria Attack Amid Pressure To ""Flex Muscle"" Against US, Israel"
333,Iran demonstrates missile capabilities with regional strikes
334,"'Unprovoked violation': Iran strikes Syria, Iraq and Pakistan as Middle East tensions spike"
335,Iran Missile Strikes Carry a Stark Warning For Israel
336,Zelenskiy urges Ukrainians to seize initiative to determine war's outcome
337,Brutal Battlefield Stalemate Forces Putin and Zelenskiy to Hug Friends Closer
338,Zelensky Attacks Putin & His Family In Davos Speech; ‘His Children Will…’ | Watch
339,Russia mocks British efforts to support Ukraine; Blinken warns of 'real problem' if Kyiv gets no extra funding
340,Not just another dot on the graph? Part II
341,"When it comes to climate change, we should be paying more attention to our oceans"
342,"2023 Was Russia's Third-Hottest Year on Record, Says Head of State Weather Service"
343,2023 recorded many of the hottest days on land and sea | Data
344,Gilgo beach murder case: New charges filed against Rex Heuermann
345,LISK lawyer wants to find other ‘victims of Rex Heuermann’ with multi-state probe after he’s hit with 4th m...
346,What you need to know about the Gilgo Beach killings
347,"Gilgo Beach killings: Suspect Rex Heuermann had hundreds of contacts with escorts, searches on pornography, rape, torture, and sex workers, court papers show"
348,US Senate rejects Bernie Sanders’ push to tie Israeli aid to human rights
349,Two Israeli hostages confirmed dead as US rejects bid to curb war
350,Biden must enforce US law regarding Israel’s military aid
351,Schumer: Democratic caucus weighing best way forward on conditioning aid to Israel
352,"Rising Hazard Levels in Grindavík, New Subsidence Valley Forms"
353,Recurrent Volcano Eruptions Force Relocation In Grindavik Of Iceland | Iceland Volcano | N18V
354,"Iceland battles a lava flow: Countries have built barriers and tried explosives in the past, but it's hard to stop molten rock"
355,Grindavik resident post eruption: will I ever return? | REUTERS
356,Kremlin critic: Ukraine’s reconstruction funds should come out of Russia’s pocket | DW News
357,"Nearly two years after invasion, West still seeking a way to steer frozen Russian assets to Ukraine"
358,Zelensky calls for seized Russian billions to rebuild Ukraine
